criticality,urgency,safety_risk,asset_importance,overdue,duration_hours,days_until_due,department,asset_type,task_type,corridor_id,high_delay_risk
3,2,5,4,True,2.91,51,Engineering,Track,Inspection,HWH-KOL,0
4,4,3,2,False,4.62,8,Engineering,Signal,Testing,MAS-BLR,0
2,3,3,2,False,3.39,44,Traction Distribution,Signal,Repair,MAS-BLR,0
1,1,2,5,False,0.92,26,Engineering,OHE,Inspection,HWH-KOL,0
4,3,5,2,False,1.85,5,Engineering,Bridge,Overhaul,MAS-BLR,1
1,1,1,3,True,5.35,-10,Engineering,Bridge,Inspection,BPL-NGP,0
3,3,2,1,False,0.71,44,Traction Distribution,Signal,Repair,DEL-AGR,0
5,3,1,5,False,4.55,-13,Traction Distribution,Track,Testing,DEL-AGR,0
5,4,5,3,False,2.11,17,Engineering,Signal,Inspection,DEL-AGR,1
2,3,3,4,False,2.99,-12,S&T,Signal,Overhaul,MUM-PUN,0
4,3,5,4,False,3.42,44,S&T,Bridge,Overhaul,MUM-PUN,1
4,4,4,2,False,1.88,60,Traction Distribution,Track,Repair,DEL-AGR,0
3,4,3,2,False,4.09,10,S&T,Bridge,Repair,BPL-NGP,1
1,5,3,4,False,4.31,9,S&T,Point Machine,Replacement,HWH-KOL,0
2,2,2,5,False,0.97,28,S&T,Track,Replacement,BPL-NGP,1
4,3,3,1,False,2.56,23,Engineering,Point Machine,Testing,HWH-KOL,1
5,2,4,5,False,4.59,14,S&T,OHE,Repair,MUM-PUN,1
1,3,5,5,False,4.47,13,S&T,Track,Replacement,BPL-NGP,1
4,1,3,1,False,3.5,0,Traction Distribution,Signal,Overhaul,MAS-BLR,1
5,3,5,1,False,4.78,4,S&T,Signal,Inspection,MUM-PUN,1
5,1,5,4,False,1.09,29,Traction Distribution,Signal,Testing,MUM-PUN,1
3,3,3,5,False,1.15,41,S&T,OHE,Testing,HWH-KOL,0
1,5,3,2,False,4.12,42,Traction Distribution,Point Machine,Inspection,MAS-BLR,0
2,5,1,4,False,4.31,24,Traction Distribution,Track,Repair,HWH-KOL,1
5,3,2,5,False,4.98,42,Engineering,Track,Overhaul,MAS-BLR,1
5,1,5,2,False,1.5,30,S&T,Point Machine,Testing,DEL-AGR,1
4,2,1,2,False,3.34,12,Traction Distribution,OHE,Inspection,DEL-AGR,0
1,1,2,5,False,4.13,12,S&T,Signal,Testing,HWH-KOL,0
1,4,4,2,True,1.73,24,Traction Distribution,Signal,Repair,MUM-PUN,1
3,5,2,3,False,3.34,9,S&T,Track,Repair,DEL-AGR,0
3,3,5,3,False,4.01,43,Traction Distribution,Bridge,Repair,MUM-PUN,1
1,1,4,3,False,1.68,-1,S&T,Bridge,Overhaul,MUM-PUN,0
4,1,1,2,False,2.57,-10,S&T,OHE,Repair,MAS-BLR,0
3,5,2,4,False,1.69,22,Engineering,Signal,Replacement,BPL-NGP,1
1,2,4,4,False,5.47,-9,Engineering,Signal,Inspection,MUM-PUN,1
1,1,5,2,False,1.8,0,Engineering,Signal,Inspection,MAS-BLR,0
3,1,5,3,False,1.16,14,Traction Distribution,Bridge,Overhaul,MAS-BLR,0
4,2,5,1,False,0.69,-14,S&T,Track,Repair,MUM-PUN,0
5,4,1,2,False,0.75,2,S&T,Bridge,Overhaul,HWH-KOL,0
3,5,4,5,False,1.55,26,S&T,Signal,Overhaul,MAS-BLR,0
2,2,1,3,False,3.85,14,S&T,Signal,Testing,HWH-KOL,0
5,4,1,4,False,0.6,53,Traction Distribution,Bridge,Inspection,MUM-PUN,0
3,1,4,5,True,2.08,-7,S&T,Bridge,Testing,MAS-BLR,1
2,1,3,4,False,0.82,39,S&T,Bridge,Testing,BPL-NGP,0
3,1,4,4,True,2.72,30,S&T,Signal,Replacement,HWH-KOL,1
1,5,5,4,False,0.77,34,S&T,OHE,Inspection,MAS-BLR,0
2,3,1,3,False,3.84,36,S&T,Signal,Inspection,BPL-NGP,0
3,5,3,4,False,4.29,-11,Engineering,Track,Replacement,MUM-PUN,1
5,1,5,2,False,4.52,45,Traction Distribution,Signal,Inspection,HWH-KOL,0
4,1,3,5,False,1.73,10,S&T,Track,Inspection,DEL-AGR,0
4,5,3,1,False,5.28,34,S&T,Track,Replacement,DEL-AGR,1
3,1,3,5,False,4.3,8,S&T,OHE,Replacement,MAS-BLR,1
1,1,5,5,False,0.81,15,S&T,Point Machine,Testing,DEL-AGR,0
2,3,1,1,False,2.92,38,Traction Distribution,Signal,Testing,MAS-BLR,0
5,4,5,4,False,4.72,56,Engineering,OHE,Repair,MUM-PUN,1
1,2,5,5,True,2.21,51,Engineering,Point Machine,Repair,HWH-KOL,1
5,3,5,3,False,2.6,40,Traction Distribution,Bridge,Inspection,BPL-NGP,1
4,4,3,2,False,3.96,26,Traction Distribution,OHE,Repair,MAS-BLR,0
2,3,3,5,True,0.81,25,S&T,Signal,Replacement,MUM-PUN,0
4,2,2,3,False,5.82,58,S&T,Point Machine,Testing,MAS-BLR,1
5,1,2,1,True,1.46,1,S&T,Track,Testing,HWH-KOL,1
1,3,5,2,False,0.65,57,Traction Distribution,Track,Testing,MAS-BLR,1
1,5,3,4,True,0.53,34,S&T,Signal,Replacement,DEL-AGR,0
4,4,4,3,True,2.7,32,Traction Distribution,Signal,Overhaul,MUM-PUN,1
5,5,1,2,False,5.36,30,S&T,Track,Overhaul,BPL-NGP,1
1,1,4,4,False,5.01,46,S&T,Track,Repair,BPL-NGP,0
4,1,4,1,False,5.52,37,Traction Distribution,Bridge,Replacement,MAS-BLR,0
1,3,5,2,False,3.44,-7,S&T,Point Machine,Replacement,MUM-PUN,0
4,1,1,3,True,2.97,44,Engineering,Point Machine,Repair,BPL-NGP,0
4,3,3,1,False,2.62,40,Engineering,Track,Replacement,BPL-NGP,0
1,5,3,2,False,0.76,54,Traction Distribution,Point Machine,Replacement,MAS-BLR,1
4,2,3,5,True,5.5,56,S&T,Signal,Inspection,DEL-AGR,1
5,3,1,5,False,3.23,57,Engineering,Point Machine,Overhaul,DEL-AGR,1
5,4,3,5,False,3.0,-11,Traction Distribution,OHE,Testing,HWH-KOL,1
1,1,2,2,False,3.33,33,Traction Distribution,Signal,Overhaul,DEL-AGR,0
2,5,4,1,False,4.87,56,S&T,Signal,Testing,DEL-AGR,1
2,2,2,5,False,1.73,58,S&T,Track,Replacement,HWH-KOL,0
3,5,3,2,False,4.4,27,Traction Distribution,Bridge,Inspection,MUM-PUN,1
1,4,4,4,False,4.41,54,Engineering,OHE,Repair,MUM-PUN,1
5,1,1,1,False,5.17,52,Engineering,Point Machine,Testing,MUM-PUN,0
4,4,4,4,True,0.55,-14,S&T,Bridge,Inspection,BPL-NGP,1
5,1,4,3,True,1.44,52,S&T,Track,Replacement,MUM-PUN,1
1,3,1,5,False,3.09,33,Engineering,Signal,Inspection,BPL-NGP,0
1,5,1,1,False,5.18,29,Engineering,Track,Repair,DEL-AGR,0
5,5,5,3,False,5.81,-1,Traction Distribution,Track,Inspection,DEL-AGR,1
2,5,2,5,False,3.77,54,S&T,Bridge,Inspection,DEL-AGR,1
4,3,5,2,False,1.67,8,Traction Distribution,Point Machine,Inspection,MAS-BLR,0
5,3,3,4,False,1.52,17,S&T,OHE,Replacement,MUM-PUN,1
1,2,2,1,False,4.02,8,S&T,Signal,Overhaul,DEL-AGR,0
1,5,2,4,False,1.66,58,S&T,OHE,Repair,MUM-PUN,0
1,3,4,2,True,3.54,22,S&T,OHE,Testing,BPL-NGP,0
1,4,1,3,False,5.09,-6,Traction Distribution,Signal,Repair,MUM-PUN,0
1,2,3,5,False,2.64,-14,Traction Distribution,Track,Overhaul,MUM-PUN,0
5,4,2,4,True,2.58,59,Traction Distribution,OHE,Replacement,DEL-AGR,0
4,2,1,3,False,0.7,3,Traction Distribution,OHE,Overhaul,BPL-NGP,0
5,4,2,1,False,1.9,43,Engineering,Point Machine,Testing,MUM-PUN,1
5,1,3,2,False,4.34,-12,S&T,Signal,Testing,DEL-AGR,1
5,1,4,5,False,2.48,53,Traction Distribution,Track,Replacement,BPL-NGP,1
2,2,1,2,False,1.37,34,S&T,Bridge,Testing,MAS-BLR,0
2,3,5,4,True,1.08,2,S&T,OHE,Overhaul,BPL-NGP,0
5,4,5,3,False,1.02,52,Engineering,Point Machine,Repair,MAS-BLR,1
2,2,4,2,False,4.13,8,Engineering,Track,Testing,HWH-KOL,0
1,1,5,4,False,3.87,60,Traction Distribution,Track,Inspection,HWH-KOL,0
4,2,3,2,True,3.35,30,Engineering,Track,Replacement,MUM-PUN,1
5,3,5,2,True,3.25,19,S&T,Point Machine,Inspection,HWH-KOL,1
5,3,4,3,True,1.34,-10,S&T,Signal,Overhaul,MAS-BLR,1
5,4,3,4,False,3.25,5,Traction Distribution,Point Machine,Testing,BPL-NGP,1
1,2,1,5,True,0.83,-10,Traction Distribution,Bridge,Testing,DEL-AGR,1
4,4,3,4,False,5.59,49,S&T,Point Machine,Inspection,HWH-KOL,1
5,4,5,4,False,0.82,-7,Engineering,Bridge,Repair,MUM-PUN,1
4,4,5,4,False,2.83,-6,S&T,Bridge,Repair,HWH-KOL,1
5,3,3,2,False,0.5,-5,Traction Distribution,Point Machine,Inspection,HWH-KOL,1
5,5,2,2,True,4.82,59,S&T,Bridge,Replacement,HWH-KOL,0
3,2,4,3,False,1.41,58,S&T,Point Machine,Inspection,MAS-BLR,1
1,4,1,4,False,5.59,39,Traction Distribution,Signal,Overhaul,MAS-BLR,0
3,1,1,4,False,0.74,-9,S&T,Track,Replacement,MAS-BLR,0
2,1,3,1,False,5.01,23,S&T,Signal,Replacement,BPL-NGP,0
1,5,5,4,False,4.11,57,S&T,OHE,Testing,MUM-PUN,0
1,3,2,2,False,1.87,-7,Traction Distribution,Signal,Overhaul,DEL-AGR,0
4,4,3,5,False,1.61,45,S&T,Track,Repair,MAS-BLR,1
3,4,2,4,False,2.47,-13,Engineering,OHE,Replacement,MAS-BLR,1
3,4,3,5,True,5.06,46,S&T,OHE,Testing,DEL-AGR,1
4,2,1,4,False,5.24,26,Traction Distribution,Bridge,Testing,MUM-PUN,1
3,1,3,3,False,1.46,52,Traction Distribution,Bridge,Overhaul,BPL-NGP,0
4,1,3,1,True,2.44,17,Traction Distribution,Point Machine,Inspection,DEL-AGR,1
1,5,2,2,True,1.81,44,Traction Distribution,Bridge,Replacement,DEL-AGR,0
5,2,2,5,False,1.17,49,Traction Distribution,Signal,Testing,MAS-BLR,0
3,3,4,2,False,4.06,10,S&T,Bridge,Inspection,DEL-AGR,0
1,3,1,1,False,2.4,34,S&T,Bridge,Replacement,MUM-PUN,0
5,1,1,2,False,1.74,20,S&T,Track,Replacement,MAS-BLR,1
4,3,1,3,False,5.26,18,Traction Distribution,Point Machine,Repair,DEL-AGR,0
1,1,5,4,False,4.62,45,S&T,OHE,Repair,BPL-NGP,1
1,1,2,5,False,4.76,2,Engineering,Signal,Testing,HWH-KOL,0
1,1,1,5,False,0.72,-6,Engineering,OHE,Replacement,HWH-KOL,0
2,5,5,3,False,5.53,22,Engineering,Bridge,Testing,MAS-BLR,1
1,3,1,3,False,3.66,47,S&T,Bridge,Replacement,DEL-AGR,1
4,5,2,5,False,3.27,-2,Traction Distribution,Signal,Testing,DEL-AGR,0
3,3,1,1,True,0.56,11,Traction Distribution,OHE,Overhaul,DEL-AGR,0
5,2,4,3,True,5.44,36,Traction Distribution,OHE,Testing,HWH-KOL,1
4,4,4,3,True,3.49,21,Traction Distribution,Point Machine,Repair,MAS-BLR,1
4,5,4,4,True,5.04,31,Engineering,OHE,Repair,DEL-AGR,1
3,3,2,5,False,4.11,25,Traction Distribution,Signal,Inspection,HWH-KOL,1
1,1,2,4,True,4.88,46,Traction Distribution,Bridge,Repair,HWH-KOL,0
1,2,5,4,False,4.31,51,Traction Distribution,Signal,Inspection,DEL-AGR,1
4,5,5,4,False,5.57,19,S&T,Signal,Inspection,MUM-PUN,1
1,3,1,3,False,1.74,18,Engineering,Signal,Repair,MUM-PUN,0
1,5,4,2,False,1.61,6,Traction Distribution,Signal,Testing,DEL-AGR,1
2,3,5,2,False,4.42,19,Engineering,OHE,Repair,HWH-KOL,0
5,1,3,4,False,3.26,48,Traction Distribution,Point Machine,Testing,MAS-BLR,1
3,5,4,4,False,3.8,23,Traction Distribution,Track,Testing,HWH-KOL,0
4,4,1,2,False,4.4,37,Traction Distribution,Bridge,Testing,BPL-NGP,1
3,4,1,5,False,3.51,17,S&T,Signal,Replacement,BPL-NGP,1
1,5,1,5,False,4.83,39,Traction Distribution,Track,Testing,MAS-BLR,0
2,1,1,4,False,2.25,39,Traction Distribution,Point Machine,Replacement,MAS-BLR,0
1,5,5,2,False,5.22,25,Traction Distribution,Signal,Overhaul,MAS-BLR,0
4,2,4,5,False,1.09,56,S&T,Point Machine,Testing,MAS-BLR,0
1,5,4,2,False,3.99,51,S&T,Bridge,Inspection,MAS-BLR,0
2,1,2,3,False,5.4,-3,Traction Distribution,Point Machine,Inspection,MAS-BLR,0
5,3,5,5,False,1.89,3,Engineering,Point Machine,Inspection,BPL-NGP,0
3,4,1,3,False,2.3,57,Engineering,OHE,Overhaul,HWH-KOL,0
3,1,5,2,False,2.18,16,S&T,Signal,Replacement,MUM-PUN,0
3,1,1,1,False,3.6,9,S&T,Point Machine,Repair,HWH-KOL,0
4,5,1,2,False,2.77,45,Traction Distribution,Signal,Overhaul,MAS-BLR,0
2,1,1,4,False,1.09,31,Traction Distribution,Bridge,Inspection,BPL-NGP,0
4,4,4,4,False,5.4,-5,Engineering,OHE,Inspection,HWH-KOL,1
5,5,2,2,False,1.63,-8,Engineering,OHE,Replacement,DEL-AGR,1
3,4,3,1,False,3.44,46,Traction Distribution,Point Machine,Testing,MUM-PUN,1
3,3,3,4,False,3.77,43,S&T,Track,Overhaul,HWH-KOL,1
1,3,4,1,False,0.72,12,Engineering,OHE,Overhaul,MUM-PUN,0
2,4,2,1,False,1.03,50,S&T,Point Machine,Overhaul,HWH-KOL,0
5,3,1,3,True,5.84,-5,Traction Distribution,Point Machine,Repair,MUM-PUN,0
3,3,2,3,False,4.15,51,S&T,Signal,Replacement,DEL-AGR,1
2,1,2,2,False,0.68,-9,S&T,Track,Testing,HWH-KOL,0
3,4,4,2,False,4.87,33,S&T,Track,Overhaul,HWH-KOL,1
3,4,4,2,False,3.3,49,Traction Distribution,Bridge,Replacement,BPL-NGP,0
3,4,1,2,False,0.91,32,S&T,Signal,Inspection,DEL-AGR,0
4,1,4,1,False,4.24,44,Traction Distribution,Track,Overhaul,HWH-KOL,1
2,4,1,1,False,3.25,11,Traction Distribution,OHE,Repair,MAS-BLR,0
4,4,4,2,False,1.63,7,S&T,Bridge,Repair,MUM-PUN,1
3,1,2,1,False,5.33,5,S&T,Signal,Overhaul,MUM-PUN,0
5,5,2,2,False,2.1,-6,Traction Distribution,Track,Repair,DEL-AGR,0
1,3,3,3,False,2.07,6,Engineering,Track,Replacement,HWH-KOL,0
1,3,2,1,False,2.0,4,Engineering,Track,Inspection,MAS-BLR,0
3,4,4,4,True,4.72,42,Engineering,Signal,Inspection,HWH-KOL,0
3,3,5,4,False,4.38,1,Traction Distribution,Track,Replacement,HWH-KOL,0
4,3,5,3,False,5.47,-2,Traction Distribution,Point Machine,Testing,BPL-NGP,1
3,2,3,4,False,1.76,40,Traction Distribution,Signal,Overhaul,HWH-KOL,0
5,5,3,5,False,4.83,26,Engineering,OHE,Replacement,MUM-PUN,1
3,5,3,1,False,3.65,2,Engineering,OHE,Testing,BPL-NGP,1
1,1,4,1,False,2.2,38,Engineering,Point Machine,Repair,MUM-PUN,0
1,4,3,2,False,0.69,2,Engineering,Point Machine,Testing,MAS-BLR,0
5,1,3,4,False,5.0,44,Engineering,OHE,Replacement,MUM-PUN,1
1,2,3,5,False,1.83,-12,S&T,Bridge,Inspection,HWH-KOL,1
5,5,2,5,False,3.97,30,Traction Distribution,Track,Inspection,MUM-PUN,0
2,1,3,3,False,3.52,30,Engineering,OHE,Testing,BPL-NGP,0
1,2,4,3,False,0.52,13,Traction Distribution,Signal,Overhaul,HWH-KOL,0
2,2,3,3,False,5.97,37,Traction Distribution,OHE,Inspection,MUM-PUN,1
4,4,5,1,True,4.98,14,Engineering,Track,Testing,BPL-NGP,1
3,3,5,3,False,3.18,35,Engineering,Signal,Inspection,MAS-BLR,1
4,3,3,3,False,4.24,2,S&T,Bridge,Repair,DEL-AGR,1
4,5,5,2,False,3.12,28,Traction Distribution,Bridge,Overhaul,HWH-KOL,1
3,3,1,4,False,4.6,42,Traction Distribution,OHE,Inspection,BPL-NGP,1
4,4,5,5,False,1.24,58,Traction Distribution,Track,Testing,BPL-NGP,1
5,1,2,2,False,2.95,13,Engineering,Point Machine,Overhaul,MUM-PUN,0
3,2,3,5,False,2.35,21,Traction Distribution,Signal,Testing,DEL-AGR,1
1,5,2,1,False,3.03,21,Traction Distribution,Signal,Testing,HWH-KOL,0
3,5,3,5,True,2.98,50,S&T,Track,Testing,BPL-NGP,0
5,4,2,4,False,1.29,58,Engineering,Signal,Repair,MUM-PUN,1
2,2,4,2,False,5.87,34,Engineering,Signal,Repair,MUM-PUN,0
5,1,1,4,True,0.59,47,Engineering,Track,Repair,HWH-KOL,1
3,5,5,2,False,0.56,-8,Traction Distribution,OHE,Inspection,HWH-KOL,1
4,4,5,4,False,2.55,42,Engineering,Bridge,Overhaul,HWH-KOL,1
2,2,3,1,True,3.91,46,Traction Distribution,Track,Inspection,BPL-NGP,0
5,3,3,2,False,1.49,39,Engineering,Track,Replacement,MAS-BLR,1
1,4,4,2,False,3.43,29,Traction Distribution,Track,Replacement,BPL-NGP,0
2,3,1,1,False,4.48,53,Traction Distribution,OHE,Replacement,DEL-AGR,0
3,5,4,2,False,1.02,35,S&T,Bridge,Replacement,MUM-PUN,0
3,1,2,4,False,5.91,49,S&T,Signal,Repair,DEL-AGR,1
3,2,4,4,False,2.35,-1,Engineering,Track,Inspection,MAS-BLR,1
1,1,2,3,False,4.03,35,Engineering,Track,Testing,BPL-NGP,0
2,4,4,1,True,1.11,18,Traction Distribution,Point Machine,Replacement,MUM-PUN,0
1,4,4,2,False,4.4,51,Traction Distribution,Signal,Replacement,MAS-BLR,0
3,5,2,5,True,5.12,52,Traction Distribution,Signal,Replacement,HWH-KOL,1
2,3,4,2,False,1.08,49,S&T,Signal,Repair,DEL-AGR,0
3,1,3,1,False,1.19,2,Engineering,Bridge,Overhaul,DEL-AGR,0
3,3,2,3,False,2.05,22,Engineering,Signal,Repair,MAS-BLR,1
4,1,3,1,False,0.57,-14,Traction Distribution,Point Machine,Replacement,MUM-PUN,0
3,4,5,2,False,5.92,59,Engineering,Point Machine,Testing,HWH-KOL,1
4,4,1,5,False,3.79,5,Engineering,Track,Repair,MAS-BLR,0
3,5,5,2,False,3.84,32,Engineering,Signal,Overhaul,MUM-PUN,0
4,2,5,4,False,5.77,22,S&T,Bridge,Overhaul,DEL-AGR,1
4,2,3,3,False,5.08,53,Traction Distribution,Bridge,Inspection,DEL-AGR,0
2,1,4,2,True,4.98,47,S&T,OHE,Overhaul,MAS-BLR,1
2,3,2,4,True,2.37,44,Traction Distribution,Track,Testing,HWH-KOL,0
4,3,1,3,True,2.34,34,S&T,Signal,Repair,MUM-PUN,1
2,4,3,2,True,2.1,-6,Traction Distribution,Bridge,Testing,DEL-AGR,0
3,4,5,2,False,2.41,54,Engineering,Point Machine,Inspection,BPL-NGP,1
1,1,2,5,False,2.53,-10,S&T,Track,Inspection,DEL-AGR,0
3,2,4,1,False,1.27,20,Engineering,Point Machine,Testing,DEL-AGR,1
3,3,4,5,False,2.46,14,Traction Distribution,Track,Testing,HWH-KOL,1
4,2,4,3,False,2.96,15,S&T,Signal,Overhaul,BPL-NGP,0
3,1,2,5,False,2.2,59,Engineering,OHE,Overhaul,HWH-KOL,0
2,5,2,2,False,1.41,3,Engineering,Signal,Repair,MAS-BLR,1
5,4,3,3,False,2.55,29,S&T,Point Machine,Replacement,MUM-PUN,1
3,3,5,4,False,3.14,2,S&T,Track,Replacement,HWH-KOL,0
5,2,5,2,False,4.46,54,Engineering,Bridge,Inspection,MUM-PUN,1
4,5,3,2,False,4.41,41,S&T,OHE,Replacement,MUM-PUN,1
3,1,5,3,False,1.61,17,Traction Distribution,Signal,Inspection,DEL-AGR,0
5,3,3,4,False,0.7,-8,Traction Distribution,Bridge,Inspection,BPL-NGP,1
1,5,2,2,False,2.17,-3,Engineering,OHE,Inspection,BPL-NGP,1
5,5,1,4,False,1.36,4,Traction Distribution,OHE,Inspection,BPL-NGP,0
5,2,4,4,False,2.68,16,Traction Distribution,Track,Inspection,DEL-AGR,0
3,4,4,1,True,5.89,52,Engineering,Bridge,Testing,DEL-AGR,1
4,1,5,5,True,1.5,-6,Engineering,Bridge,Testing,BPL-NGP,1
3,1,4,1,False,2.25,29,Engineering,Track,Replacement,BPL-NGP,1
2,2,1,4,True,4.49,12,Traction Distribution,Bridge,Repair,DEL-AGR,1
4,5,3,3,False,3.3,-11,Traction Distribution,Point Machine,Inspection,BPL-NGP,1
2,4,4,4,True,0.74,32,S&T,OHE,Testing,MAS-BLR,1
2,3,3,4,False,1.39,38,Traction Distribution,Bridge,Overhaul,BPL-NGP,0
3,2,3,4,False,5.64,57,S&T,OHE,Overhaul,MUM-PUN,1
5,1,5,4,False,1.07,24,Traction Distribution,Point Machine,Replacement,MUM-PUN,1
2,2,4,5,False,3.99,10,Traction Distribution,Track,Inspection,BPL-NGP,1
3,1,4,4,True,4.86,50,Traction Distribution,Track,Overhaul,HWH-KOL,1
1,1,3,5,True,1.96,4,S&T,OHE,Replacement,BPL-NGP,0
1,4,2,3,False,4.49,37,S&T,Signal,Repair,MAS-BLR,1
1,1,3,2,False,1.43,56,Engineering,Bridge,Repair,HWH-KOL,0
1,1,5,2,False,2.07,-14,Traction Distribution,Track,Inspection,HWH-KOL,0
5,3,4,4,False,2.22,55,Engineering,Point Machine,Testing,HWH-KOL,0
5,2,4,3,False,5.98,1,S&T,Point Machine,Inspection,HWH-KOL,1
5,3,1,1,True,1.68,22,S&T,Bridge,Testing,DEL-AGR,0
1,1,5,2,False,1.21,5,Traction Distribution,Bridge,Testing,MAS-BLR,0
1,2,2,5,False,5.59,-4,Traction Distribution,Bridge,Inspection,HWH-KOL,0
2,3,5,4,False,1.39,38,Traction Distribution,Signal,Overhaul,MUM-PUN,0
3,4,3,4,False,5.34,22,Traction Distribution,Point Machine,Inspection,HWH-KOL,0
2,3,5,1,False,4.08,24,Traction Distribution,Track,Testing,MUM-PUN,0
3,3,5,1,True,3.67,22,S&T,OHE,Replacement,MAS-BLR,1
1,3,4,2,False,4.63,42,S&T,Signal,Inspection,BPL-NGP,0
4,2,5,5,True,4.49,58,Traction Distribution,Signal,Overhaul,MUM-PUN,1
2,2,4,3,True,1.11,24,S&T,OHE,Overhaul,BPL-NGP,1
1,3,5,4,True,6.0,-3,S&T,Track,Testing,DEL-AGR,1
4,1,1,3,False,5.68,10,Engineering,OHE,Replacement,MAS-BLR,0
5,4,1,3,True,5.43,23,S&T,OHE,Testing,HWH-KOL,0
1,4,3,4,False,3.92,-7,S&T,Signal,Overhaul,BPL-NGP,1
3,2,5,5,False,3.38,3,Engineering,OHE,Replacement,BPL-NGP,1
5,2,4,3,False,3.45,1,Traction Distribution,Point Machine,Repair,MUM-PUN,0
4,2,3,3,False,0.58,58,Traction Distribution,Point Machine,Repair,BPL-NGP,0
5,4,3,5,True,3.25,16,Traction Distribution,Track,Overhaul,MUM-PUN,0
3,4,4,2,True,3.93,51,Engineering,OHE,Overhaul,BPL-NGP,0
2,1,5,5,False,4.12,27,Engineering,Point Machine,Inspection,DEL-AGR,0
4,3,5,3,False,2.33,23,Engineering,Point Machine,Replacement,DEL-AGR,0
1,1,1,5,False,3.09,56,Traction Distribution,OHE,Inspection,MAS-BLR,0
2,3,3,3,False,4.0,37,Traction Distribution,Track,Repair,BPL-NGP,0
4,2,2,4,False,2.86,3,S&T,Track,Overhaul,DEL-AGR,0
4,2,4,2,False,5.79,7,Engineering,Signal,Overhaul,MUM-PUN,1
1,3,3,4,False,4.38,35,S&T,Point Machine,Inspection,HWH-KOL,0
3,2,5,2,False,0.51,-14,Traction Distribution,Point Machine,Overhaul,DEL-AGR,1
2,2,3,4,False,0.63,-3,S&T,Point Machine,Inspection,HWH-KOL,0
3,4,4,4,False,4.3,-9,Engineering,Signal,Inspection,MUM-PUN,1
5,5,1,3,False,2.77,39,S&T,OHE,Testing,DEL-AGR,1
1,1,5,3,True,5.12,19,Traction Distribution,Track,Inspection,MUM-PUN,0
5,2,1,2,False,1.45,-14,Traction Distribution,Point Machine,Repair,MUM-PUN,0
3,5,2,4,False,0.58,41,S&T,Signal,Inspection,DEL-AGR,0
4,3,5,3,True,2.63,35,Traction Distribution,OHE,Replacement,BPL-NGP,1
3,2,5,3,False,4.55,39,Engineering,OHE,Replacement,MUM-PUN,1
2,3,3,1,False,5.84,-2,Traction Distribution,Signal,Testing,DEL-AGR,1
4,1,3,1,True,5.36,51,Engineering,Track,Testing,DEL-AGR,0
4,1,1,1,True,3.16,-1,S&T,Bridge,Overhaul,MAS-BLR,1
1,4,5,5,False,4.97,28,S&T,Track,Replacement,DEL-AGR,0
4,3,1,5,True,0.89,27,Traction Distribution,Bridge,Inspection,MAS-BLR,1
4,4,1,1,False,3.65,2,Engineering,Track,Testing,DEL-AGR,0
2,2,3,1,False,5.58,14,Engineering,Track,Replacement,DEL-AGR,0
5,5,1,4,False,2.68,-11,Traction Distribution,Bridge,Repair,HWH-KOL,1
4,3,1,3,False,5.78,21,S&T,Bridge,Replacement,MAS-BLR,0
2,4,4,2,False,1.71,36,Traction Distribution,Bridge,Repair,DEL-AGR,1
1,1,4,4,False,1.08,9,S&T,Point Machine,Repair,MUM-PUN,0
4,1,2,2,False,3.39,26,S&T,OHE,Replacement,BPL-NGP,0
2,4,4,1,True,5.49,57,Traction Distribution,Track,Overhaul,DEL-AGR,0
4,5,4,2,False,2.21,3,Traction Distribution,OHE,Inspection,DEL-AGR,1
3,5,2,5,False,4.9,7,Traction Distribution,OHE,Testing,MUM-PUN,1
3,2,4,4,False,1.43,-6,Traction Distribution,Point Machine,Inspection,MAS-BLR,0
1,1,3,1,False,4.6,26,Engineering,Track,Inspection,MAS-BLR,0
4,5,5,3,False,3.56,1,Engineering,Track,Overhaul,BPL-NGP,1
1,4,1,5,False,1.46,50,Traction Distribution,OHE,Inspection,BPL-NGP,0
3,2,2,5,True,4.45,7,S&T,Bridge,Overhaul,DEL-AGR,1
5,4,2,4,False,4.43,35,Engineering,Bridge,Overhaul,MUM-PUN,1
5,5,2,1,False,3.33,0,Engineering,OHE,Replacement,MAS-BLR,0
5,2,5,2,False,1.74,10,S&T,Signal,Replacement,BPL-NGP,1
5,4,4,2,False,1.23,-2,S&T,OHE,Testing,MUM-PUN,1
3,4,3,1,True,5.76,27,Traction Distribution,OHE,Overhaul,BPL-NGP,0
2,3,3,1,False,4.11,-12,Traction Distribution,Point Machine,Overhaul,BPL-NGP,1
5,4,5,2,False,4.95,-8,Traction Distribution,Signal,Inspection,BPL-NGP,0
5,2,3,3,False,4.33,23,S&T,Signal,Replacement,MAS-BLR,0
5,5,2,2,False,5.06,26,Traction Distribution,OHE,Inspection,HWH-KOL,1
4,5,1,3,True,1.39,10,Traction Distribution,Bridge,Repair,DEL-AGR,1
1,5,2,2,False,3.23,18,Traction Distribution,Bridge,Overhaul,MAS-BLR,0
3,4,4,1,False,4.17,17,S&T,Point Machine,Replacement,DEL-AGR,0
3,1,3,5,False,1.07,42,Engineering,Signal,Testing,BPL-NGP,1
5,2,3,3,False,1.32,19,Engineering,OHE,Testing,BPL-NGP,1
2,3,3,2,False,3.99,49,Traction Distribution,OHE,Inspection,DEL-AGR,0
